text,reason,label
streaming functionality is awful.,worst app for streaming,1
also raised hands are not brought to the front of the screen order,raised hands are not brought to the front of the screen,1
your data is not safe on this app.,data is not safe,1
why is the app not running on my samsung tv.,unable to open on android tv,1
browser access does not work with chrome on android,browser access does not work with chrome on android,1
app fails to work offline despite being up to date.,unable to access the app without internet connection,1
i am not able to get video,want to access video,1
best streaming channel ever,best streaming service,1
android app does not allow direct screen sharign of video from phone.,app crashing during ipl stream,0
it take high speed network.very bad app,app requires high speed internet,1
"the picture quality is good, and the sound is very good",want to minimize the screen while scrolling through other apps,0
the is really good but the chat section is so bad.,want to get preview before joining meeting,0
it is a gameplay mui bad controls and very bad graphics very deplorable and a bad online also has a very bad story that does not make sense birds very bad game,gameplay and controls are bad,1
it is very easy to join,easy to connect,1
how can i put my picture there is no options for change picture?,want to change user image,1
i wanted have disney plus,unable to use on ios,0
great application for training.,app is good for training,1
we have a good remote control app and atomic number 53 use it for school.,want to hear audio and meeting gets disconnected,0
accidentally disabled email authentication in the settings.,want to install,0
the microphone itself makes strange noises.,online classes are bad,0
it starts buffering even if you have a good internet connection.,app performance is bad despite good internet,1
definitely recommend microsoft teams instead,want to remove window when the application is minimized,0
i can not play video piece having soar meeting fix this today is this what you call security enhancement,getting removed from meetings,0
"the graphics and fps are bad, very low, i do not see the option to increase the quality, besides the classes of those teachers are boring, except that of eca and physical education",graphics and fps are bad,1
it is very good the zoom service is quite interesting to me,customer service is good,1
"it is very slow, it call for a long time to load the images from the gallery and start the videos,",app has good features,0
app no longer supports bluetooth devices.,app no longer supports bluetooth devices,1
i hate how the screen goes black or flickers.,screen turns black or flickers,1
"app takes lots of resources, it is slow and mute button is unresponsive.",app is slow and mute button is unresponsive,1
it takes a long time to charge.,want to change position of camera box when zooming,0
phone screen sharing is slow,app does not recognize email and password,0
my only problem is sometimes i get kicked off during peak hours of use when using the hotspot with my laptop,hotspot is not working during peak hours,1
perfect app for the situation workers .,want to share whiteboard from iphone,0
terrible application management can not go to the lesson,app management is bad,1
"after the last update, the app no longer works",app is not working after latest update,1
password cannot be recovered,password cannot be recovered,1
i try to join & screen goes black with the 4 squares showing only.,screen is black,1
video resolution is .,want to record a meeting,0
the best app in live streaming!,app keeps crashing on the tv,0
not playing highlights on matchs very big problem,unable to play highlights,1
and they will not release episodes on time.,file transfer in chat is not possible,0
the app is great but there is a missing movie about spider-man with no return home,unable to find spiderman movies,1
why remove pip mode?,want to use pip mode,1
this helps stay together as a family,zoom app is not opening in iphone,0
I would also love to be able to control remote screen from the ipad.,app is difficult to understand,0
great all around app except it does not give microphone access with the version 1 of ipad pro.,ipad pro version needs microphone access,1
sound problems - why is it so hard?,want to create account,0
construct a dark mode for,want to open the baby shower,0
very annoying not being able to get a full screen view.,want to get full screen view,1
please remove waiting room,zoom emoji package starts downloading during meeting,0
i give it a star because there are times when the app will not let me send messages,messaging function is not working,1
zoom is whole unusable while driving a car.,want to select background during meetings,0
"i can not use google drive, pages, notes, etc spell using zoom.",sound of recording is loud,0
I am tired of disney,disney plus is bad,1
"it is slow to download, and it crashes many times.",app crashes frequently and video download issues,1
quick simple to set up and value for money,facing issues with screen,0
why embody it impossible to split the screen into two parts when working in zoom?,microsoft teams is better,0
"every time i exit the app, i log out and it is very annoying to have to log in every time i open it.",have to login every time after exiting the app,1
i can not launch zoom directly by taping to a link on my device.,espn+ is bad,0
for Pine Tree State i could't find video dribble,want to adjust volume,0
i can not watch ipl,unable to use full screen,0
"bad software, web service.",want to add mobile phone,0
sometimes i can not even log in because the app says i put in an incorrect pin which i did not.,video resolution is low,0
the works shockingly badly,want to paste code in while logging in,0
video quality is very poor,video quality is poor,1
quality portuguese subtitles are missing!,portuguese subtitles are missing,1
the ability to limit World Health Organization can hear the audible alert when a player enters the waiting room.,want to switch to another device,0
i think Walt Disney + is better than netflix,ipad app is bad,0
very good user interface and experience.,want to auto switch between devices,0
there are not easy way to unsubscribe from zoom.,want to unsubscribe from zoom,1
"howling app, moderate prices and suitable for everyone!",good for personal development,0
and i can not make individual participant boxes large.,frequent updates are annoying,0
"still does not allow select background filters from nomadic devices, very inconvenient",want to uninstall headphones,0
best cloud meeting app,good app for cloud meetings,1
"images uploaded for polls do not pop up in certain devices, and can not find help anywhere",want to find polls in certain devices,1
i do not understand why guys write bad reviews!,want to insert display picture,0
"on android cell phone, apparently you can not make rooms for small groups, the option does not appear",want to change virtual background,0
video quality has improved significantly.,video quality has improved significantly,1
"when i type my number in that zoom for, it tells me my number is incorrect.",want to keep comments off screen,0
but send away not insert the exhibit picture,want to receive virtual call,0
